state,holiday,start,end
Nordrhein-Westfalen,Sommerferien,2022-07-05,2022-08-17
Nordrhein-Westfalen,Herbstferien,2022-10-11,2022-10-23
Nordrhein-Westfalen,Weihnachtsferien,2022-12-24,2023-01-08
Rheinland-Pfalz,Osterferien,2022-03-29,2022-04-06
Rheinland-Pfalz,Pfingstferien,2022-05-25,2022-06-02
Rheinland-Pfalz,Sommerferien,2022-07-19,2022-08-27
Rheinland-Pfalz,Herbstferien,2022-10-11,2022-10-22
Rheinland-Pfalz,Weihnachtsferien,2022-12-23,2022-12-31
Saarland,Winterferien,2022-02-15,2022-02-19
Saarland,Osterferien,2022-03-29,2022-04-07
Saarland,Pfingstferien,2022-05-25,2022-05-28
Saarland,Sommerferien,2022-07-19,2022-08-27
Saarland,Herbstferien,2022-10-18,2022-10-29
Saarland,Weihnachtsferien,2022-12-23,2023-01-03
Sachsen,Winterferien,2022-02-01,2022-02-07
Sachsen,Osterferien,2022-03-27,2022-04-10
Sachsen,Pfingstferien,2022-05-14,2022-05-14
Sachsen,Sommerferien,2022-07-26,2022-09-03
Sachsen,Herbstferien,2022-10-18,2022-10-30
Sachsen,Weihnachtsferien,2022-12-23,2023-01-01
Sachsen-Anhalt,Winterferien,2022-02-08,2022-02-13
Sachsen-Anhalt,Osterferien,2022-03-29,2022-04-03
Sachsen-Anhalt,Pfingstferien,2022-05-10,2022-05-22
Sachsen-Anhalt,Sommerferien,2022-07-22,2022-09-01
Sachsen-Anhalt,Herbstferien,2022-10-25,2022-10-30
Sachsen-Anhalt,Weihnachtsferien,2022-12-22,2023-01-08
Schleswig-Holstein,Osterferien,2022-04-01,2022-04-16
Schleswig-Holstein,Pfingstferien,2022-05-14,2022-05-15
Schleswig-Holstein,Sommerferien,2022-06-21,2022-07-31
Schleswig-Holstein,Herbstferien,2022-10-04,2022-10-16
Schleswig-Holstein,Weihnachtsferien,2022-12-23,2023-01-08
Thüringen,Winterferien,2022-01-25,2022-01-30
Thüringen,Osterferien,2022-03-29,2022-04-10
Thüringen,Pfingstferien,2022-05-14,2022-05-14
Thüringen,Sommerferien,2022-07-26,2022-09-04
Thüringen,Herbstferien,2022-10-25,2022-11-06
Thüringen,Weihnachtsferien,2022-12-23,2022-12-31
